name,latin,zone,sun,soil,wind,is_bulb,notes,pruning,feeding,watering,pruning_months,feeding_months,water_freq
Орех,Juglans regia,,full_sun,well_drained,sheltered,no,Walnut tree | habitat: full_sun,Late winter (Feb–Mar): remove dead/crossing branches. Avoid cutting in spring — bleeds sap.,Apr: compost mulch around base. Jun: liquid seaweed once.,Deep water weekly in dry summers. Drought-tolerant once established.,"2,3","4,6",weekly_summer
Дрян,Cornus mas,,full_sun,well_drained,tolerant,no,Cornel | habitat: full_sun,Mar: cut coloured-stem varieties hard to ground for bright new growth.,Apr: worm castings around base. Jun: compost tea.,"Moderate. Water in dry spells, especially first 2 years.",3,"4,6",moderate
Мушмула,Mespilus germanica,,full_sun,well_drained,tolerant,no,Medlar tree | habitat: full_sun,"Feb–Mar: thin canopy, remove inward growth.",Apr: balanced compost. No high-nitrogen.,Drought-tolerant when established. Water young trees weekly.,"2,3",4,low
Гинко,Ginkgo biloba,,full_sun,well_drained,tolerant,no,Ginkgo tree | habitat: full_sun,Nov–Feb: remove dead wood only. Minimal pruning needed.,Apr: slow-release organic fertiliser once a year.,Drought-tolerant. Water weekly first season only.,"11,12,1,2",4,low
Дюля,Cydonia oblonga,,full_sun,well_drained,tolerant,no,Quince | habitat: full_sun,Feb–Mar: open up centre for airflow and light.,Mar: compost mulch. May: liquid seaweed.,Water well during fruit development (Jun–Aug).,"2,3","3,5",moderate_fruiting
Глог,Crataegus monogyna,,full_sun,well_drained,tolerant,no,Hawthorn | habitat: full_sun,Feb–Mar or after flowering (Jun): shape and thin.,Apr: light compost mulch.,Very drought-tolerant. Water only in extreme heat.,"2,3,6",4,low
Котонеастер,Cotoneaster spp.,,full_sun,well_drained,tolerant,no,Cotoneaster | habitat: full_sun,Mar or Aug: light trim for shape. Hard prune if overgrown.,Apr: compost mulch once.,Drought-tolerant. Water young plants in dry spells.,"3,8",4,low
Лъжлив кипарис,Chamaecyparis,,full_sun,well_drained,tolerant,no,Chamaecyparis | habitat: full_sun,"Apr–May: light shaping only, never cut into old brown wood.",Apr: slow-release conifer fertiliser.,Regular water in first year. Drought-tolerant after.,"4,5",4,low
Леска,Corylus avellana,,full_sun,well_drained,tolerant,no,Hazel | habitat: full_sun,Feb–Mar: remove oldest stems at base every 3 years for rejuvenation.,Mar: compost mulch. May: seaweed foliar spray.,Moderate. Water in dry spells.,"2,3","3,5",moderate
Зърнастец,Rhamnus spp.,,full_sun,well_drained,tolerant,no,Rhamnus | habitat: full_sun,Mar: light shaping. Tolerates hard pruning.,Apr: compost mulch.,Very drought-tolerant once established.,3,4,low
Салвия (градински чай),Salvia officinalis,,full_sun,well_drained,tolerant,no,Salvia | habitat: full_sun,Mar–Apr: cut back by 1/3 after winter. Deadhead through summer.,Apr: worm castings. Avoid high nitrogen — reduces aroma.,"Drought-tolerant. Water deeply once a week in summer, less in spring/autumn.","3,4",4,weekly_summer
Винка малка и пъстролистна,Vinca minor / major,,full_sun,well_drained,tolerant,no,Vinca | habitat: full_sun,Mar–Apr: cut hard to ground to rejuvenate. Can be aggressive spreader.,Apr: light compost mulch.,Low once established.,"3,4",4,low
Клек (джудже бор),Pinus mugo,,full_sun,well_drained,tolerant,no,Dwarf pine | habitat: full_sun,May–Jun: pinch back candles by 1/2 to control size. No hard pruning.,Apr: slow-release conifer food once.,Drought-tolerant. Water young plants only.,"5,6",4,low
Хвойна,Juniperus spp.,,full_sun,well_drained,tolerant,no,Juniper | habitat: full_sun,Apr–May: light shaping only. Never cut into old brown wood.,Apr: slow-release granular fertiliser.,Drought-tolerant.,"4,5",4,low
Пъскав нокът,Lonicera nitida,,full_sun,well_drained,tolerant,no,Lonicera | habitat: full_sun,Mar: remove 1/3 oldest stems. Tidy after flowering (Jun).,Apr: compost mulch. Jun: balanced liquid feed.,Moderate. Keep moist in summer.,"3,6","4,6",moderate
Калина,Viburnum lantana,,full_sun,well_drained,tolerant,no,Wayfaring tree | habitat: full_sun,After flowering (Jun–Jul): light shaping only.,Apr: compost mulch. Jun: liquid seaweed.,"Moderate. Water in dry spells, especially in flower.","6,7","4,6",moderate
Пираканта,Pyracantha coccinea,,full_sun,well_drained,tolerant,no,Pyracantha | habitat: full_sun,Apr: trim new growth back to 2–3 leaves from base. Aug: repeat light trim.,Mar: compost mulch. Avoid high nitrogen — reduces berries.,Moderate once established. Water young plants weekly.,"4,8",3,moderate
Дива лоза,Parthenocissus quinquefolia,,full_sun,well_drained,tolerant,no,Virginia creeper | habitat: full_sun,Mar: cut back hard from gutters/windows. Shape in Aug if needed.,Apr: compost mulch at base. Jun: liquid seaweed.,Moderate. Self-sufficient once established.,"3,8","4,6",low
Див (сибирски) лук,Allium schoenoprasum,,full_sun,well_drained,tolerant,yes,Chives | habitat: full_sun,Allow foliage to die back fully (6 weeks after flowering) before removing.,Mar: worm castings at planting time or top-dress established clumps.,Water after planting. Drought-tolerant once established.,"6,7",3,low
Махония,Mahonia aquifolium,,full_sun,well_drained,tolerant,no,Mahonia | habitat: full_sun,After flowering (Apr–May): remove oldest stems at base every 2–3 years.,Mar: compost mulch. Very unfussy feeder.,Drought-tolerant. Water during establishment.,"4,5",3,low
Чашкодрян,Euonymus europaeus / japonicus,,full_sun,well_drained,tolerant,no,Spindle tree | habitat: full_sun,Mar–Apr: shape as needed. Tolerates hard pruning.,Apr: balanced compost mulch.,Moderate. Drought-tolerant when established.,"3,4",4,low
